id,topic,likes,comments
695707917166339_1009359289134532,3,1,0
695707917166339_1009236785813449,1,10,1
695707917166339_1009415495795578,0,7,7
695707917166339_1009070852496709,3,0,1
695707917166339_1009236822480112,0,3,1
695707917166339_1009236759146785,3,1,1
695707917166339_1009415519128909,3,6,0
695707917166339_1009415505795577,1,0,1
695707917166339_1008975975839530,3,25,5
695707917166339_1009236769146784,3,2,0
695707917166339_1009534499117011,3,4,0
695707917166339_1009359312467863,1,3,0
695707917166339_1009316459138815,0,7,0
695707917166339_1009359279134533,3,0,1
695707917166339_1009236805813447,3,1,1
695707917166339_1009070922496702,1,0,4
695707917166339_1009316449138816,1,0,1
695707917166339_1009415539128907,3,2,1
695707917166339_1009070902496704,0,6,5
695707917166339_1009534525783675,3,2,0
695707917166339_1009316435805484,2,2,10
695707917166339_1009366289133832,3,0,1
695707917166339_1008496352554159,3,5,1
695707917166339_1008297742574020,3,0,1
695707917166339_1008830512520743,1,1,3
695707917166339_1008692462534548,0,0,4
695707917166339_1008897402514054,1,0,1
695707917166339_1008496382554156,3,25,9
695707917166339_1008897415847386,1,13,6
695707917166339_1008975965839531,0,0,2
695707917166339_1008975912506203,3,9,1
695707917166339_1008975922506202,3,0,1
695707917166339_1008829655854162,0,3,0
695707917166339_1008975949172866,3,2,4
695707917166339_1008829699187491,0,1,0
695707917166339_1008897382514056,0,1,2
695707917166339_1008829672520827,1,1,1
695707917166339_1008496342554160,3,0,1
695707917166339_1008297762574018,3,1,1
695707917166339_1008496365887491,3,1,2
695707917166339_1008829675854160,3,25,12
695707917166339_1008897439180717,0,0,1
695707917166339_1008692612534533,0,1,1
695707917166339_1008692652534529,0,1,3
695707917166339_1008692515867876,1,6,7
695707917166339_1008692535867874,3,22,5
695707917166339_1008897365847391,3,2,3
695707917166339_1008045555932572,2,4,1
695707917166339_1007826635954464,3,0,4
695707917166339_1007941039276357,3,0,2
695707917166339_1007826672621127,1,7,0
695707917166339_1007940969276364,1,13,2
