id,topic,likes,comments
695707917166339_956999734370488,1,25,3
695707917166339_956912851045843,1,25,6
695707917166339_956929284377533,1,0,4
695707917166339_956999741037154,1,3,2
695707917166339_956746187729176,1,14,0
695707917166339_956969441040184,1,1,3
695707917166339_956766937727101,1,0,0
695707917166339_956967571040371,1,1,3
695707917166339_956784071058721,1,1,3
695707917166339_956494224421039,1,3,3
695707917166339_956413014429160,1,12,4
695707917166339_956536791083449,1,25,3
695707917166339_956531754417286,1,25,0
695707917166339_956724404398021,1,0,1
695707917166339_956523254418136,1,0,0
695707917166339_956523291084799,1,4,3
695707917166339_956389637764831,1,0,2
695707917166339_956531741083954,1,5,1
695707917166339_956594317744363,1,6,3
695707917166339_956389614431500,1,3,1
695707917166339_956389607764834,1,25,3
695707917166339_956338587769936,1,25,2
695707917166339_956389577764837,1,9,2
695707917166339_956292991107829,1,5,6
695707917166339_956251767778618,1,1,3
695707917166339_956370607766734,1,8,3
695707917166339_956338607769934,1,1,2
695707917166339_956355127768282,1,0,6
695707917166339_956355114434950,1,0,1
695707917166339_956389594431502,1,2,0
695707917166339_956314867772308,1,0,8
695707917166339_955476331189495,1,6,3
695707917166339_956000374470424,1,1,1
695707917166339_955933844477077,1,2,2
695707917166339_955959201141208,1,12,2
695707917166339_955933871143741,1,0,4
695707917166339_955533454517116,1,25,2
695707917166339_956000394470422,1,6,7
695707917166339_955959214474540,1,1,8
695707917166339_955533367850458,1,2,3
695707917166339_955744647829330,1,1,3
695707917166339_955974724472989,1,4,10
695707917166339_955131997890595,1,3,7
695707917166339_954952274575234,1,2,3
695707917166339_955350827868712,1,0,1
695707917166339_954700551267073,1,8,4
695707917166339_954811811255947,1,1,1
695707917166339_954701971266931,1,0,2
695707917166339_954732114597250,1,1,3
695707917166339_954215464648915,1,2,2
695707917166339_954325691304559,1,0,2
695707917166339_954124117991383,1,0,0
695707917166339_954271834643278,1,0,2
695707917166339_954237797980015,1,0,1
695707917166339_954293684641093,1,0,1
695707917166339_954190197984775,1,0,3
695707917166339_954335431303585,1,1,2
695707917166339_954108977992897,1,2,2
695707917166339_954262214644240,1,25,6
695707917166339_954272277976567,1,0,1
